bus,fueltype,c2,c1,c0,pmax,ess,canidate,gen_id
5,IMPORT,0.0,31.3951746,0.0,200.0,0,0,1
7,Conventional Hydroelectric,0.07872443200000001,14.8788144,34.6467874,1.4,0,0,2
12,Natural Gas Fired Combustion Turbine,0.06359010700000002,14.2689682,300.533608,60.5,0,0,3
13,Batteries,0.067573963,16.3717118,401.19412,1.5,1,1,4
13,Solar Photovoltaic,0.0,0.0,0.0,41.76137216,0,1,5
15,Onshore Wind Turbine,0.0,0.0,0.0,143.0,0,0,6
18,Natural Gas Fired Combustion Turbine,0.035004509,15.1584724,428.748492,659.0,0,0,7
18,Other Waste Biomass,0.09470392200000001,22.409643000000003,554.685123,3.2,0,0,8
19,Landfill Gas,0.25325,58.907,173.53,5.4,0,0,9
20,Conventional Hydroelectric,0.104841048,14.8788144,26.2074855,4.6,0,0,10
21,Solar Photovoltaic,0.0,0.0,0.0,1.55150609,0,1,11
23,Solar Photovoltaic,0.0,0.0,0.0,14.610015659999998,0,1,12
43,Batteries,0.067573963,16.3717118,401.19412,1.0,1,1,13
46,Solar Photovoltaic,0.0,0.0,0.0,3.87876522,0,1,14
47,Batteries,0.067573963,16.3717118,401.19412,40.0,1,1,15
47,Solar Photovoltaic,0.0,0.0,0.0,1.42221391,0,1,16
48,Landfill Gas,0.25325,58.907,173.53,6.4,0,0,17
49,Natural Gas Fired Combustion Turbine,0.051140815,13.502241700000003,315.964182,4.6,0,0,18
52,Solar Photovoltaic,0.0,0.0,0.0,1.68079826,0,1,19
54,Batteries,0.067573963,16.3717118,401.19412,7.5,1,1,20
58,Natural Gas Fired Combustion Turbine,0.051140815,13.502241700000003,315.964182,2.6,0,0,21
60,Batteries,0.067573963,16.3717118,401.19412,1.5,1,1,22
60,Natural Gas Fired Combustion Turbine,0.060402558,14.4848701,297.332701,118.0,0,0,23
72,Other Waste Biomass,0.09470392200000001,22.409643000000003,554.685123,1.5,0,0,24
72,Solar Photovoltaic,0.0,0.0,0.0,1.29292174,0,1,25
76,Solar Photovoltaic,0.0,0.0,0.0,1.42221391,0,1,26
78,Natural Gas Internal Combustion Engine,0.052644909,7.3428025,22.7651352,1.6,0,0,27
80,Natural Gas Fired Combined Cycle,0.016096182000000004,15.236961,1547.8861,14.299999999999999,0,0,28
80,Solar Photovoltaic,0.0,0.0,0.0,1.034337392,0,1,29
85,Natural Gas Fired Combustion Turbine,0.051140815,13.502241700000003,315.964182,5.3,0,0,30
89,Other Natural Gas,0.030580892000000002,24.5037276,248.251086,1.1,0,0,31
93,Natural Gas Fired Combined Cycle,0.04641337200000001,16.3163742,586.464464,10.2,0,0,32
93,Natural Gas Fired Combined Cycle,0.09599849900000001,8.86336251,572.947107,41.2,0,0,33
95,Solar Photovoltaic,0.0,0.0,0.0,6.593900874,0,1,34
96,Conventional Hydroelectric,0.07872443200000001,14.8788144,34.6467874,1.5,0,0,35
96,Other Waste Biomass,0.09470392200000001,22.409643000000003,554.685123,4.6,0,0,36
97,Solar Photovoltaic,0.0,0.0,0.0,13.575678270000001,0,1,37
98,Onshore Wind Turbine,0.0,0.0,0.0,51.0,0,0,38
